XValue;YValue;codramal;ZMC
-7.7142606;38.02720402;695025;2900
-7.71424784;38.02628132;695026;2900
-7.71308765;38.02603399;695027;2900
-7.7143451;38.02729594;695028;2900
-7.7137813;38.02672257;695029;2900
-7.71363328;38.02657586;695030;2900
-7.7138879;38.02581167;695031;2900
-7.71394386;38.02688077;695032;2900
-7.71318659;38.02613961;695033;2900
-7.71468605;38.026999;695034;2900
-7.71476499;38.02699726;695035;2900
-7.71361411;38.02605678;695036;2900
-7.71346184;38.02640522;695037;2900
-7.71389647;38.02683465;695038;2900
-7.71413046;38.02613267;695039;2900
-7.71289559;38.02582483;695040;2900
-7.71413332;38.02706839;695041;2900
-7.71365748;38.02610208;695042;2900
-7.71353395;38.0264808;695043;2900
-7.71360647;38.02654966;695044;2900
-7.7134268;38.02637322;695045;2900
-7.71392247;38.0258591;695046;2900
-7.71339307;38.02634257;695047;2900
-7.71316567;38.02611756;695048;2900
-7.71331408;38.02626729;695049;2900
-7.71473895;38.02735037;695050;2900
-7.71366891;38.02661191;695051;2900
-7.71427886;38.02632261;695052;2900
-7.71398608;38.02692185;695053;2900
-7.7143549;38.02642617;695054;2900
-7.7130283;38.025963;695055;2900
-7.71369667;38.02614211;695056;2900
-7.71323943;38.02619274;695057;2900
-7.71420328;38.02622533;695058;2900
-7.7145737;38.02669968;695059;2900
-7.71312014;38.02606908;695060;2900
-7.71403123;38.0260001;695061;2900
-7.71314299;38.02609327;695062;2900
-7.71632206;38.02587503;852013;2900
-7.71480579;38.02595332;973001;2900
-7.7152416;38.02595455;973002;2900
-7.71519518;38.02595573;973003;2900
-7.71532318;38.02601721;973004;2900
-7.71510082;38.02595661;973005;2900
-7.71465076;38.02594972;973006;2900
-7.71483762;38.02601472;973007;2900
-7.71540568;38.02595262;973008;2900
-7.71544485;38.02622877;973009;2900
-7.71492283;38.02595483;973010;2900
-7.71469885;38.02595098;973011;2900
-7.71540571;38.02601971;973012;2900
-7.71527767;38.02595366;973013;2900
-7.71516254;38.02601429;973014;2900
